,,,,,,,,
,adm_user=matrixatm1,,Global,Static,Default,,,
,adm_passwd=$AES$2B1A2AA21A3C2A792AD50857C21AE55C,,Global,Static,Default,,,
,adm_users=,,Global,Static,Default,,,
,advanced=1,,Global,Static,Default,,,
,alarm_clear=0,,Global(?),Static,Default,,,
,alarm_confirm=0,,Global(?),Static,Default,,,
,auto_ping_enable=0,,,,,,,
,,,,,,,,
,cert_ca=,,VPN ,Static,Default,,,
,cert_crl=,,VPN ,Static ,Default,,,
,cert_key=,,VPN ,Static ,Default,,,
,cert_private=,,VPN ,Static ,Default,,,
,cert_public=,,VPN ,Static ,Default,,,
,,,,,,,,
,com0_config=115200 8N1,,Serial,Static,Default,,,These parameters are for serial port configuration which we do not utilize. 
,com0_hw_flow=0,,Serial,Static,Default,,,
,com0_sw_flow=0,,Serial,Static,Default,,,
,com1_config=115200 8N1,,Serial,Static,Default,,,
,com1_hw_flow=0,,Serial,Static,Default,,,
,com1_sw_flow=0,,Serial,Static,Default,,,
,com4_config=19200 8N1,,Serial,Static,Default,,,
,com4_hw_flow=0,,Serial,Static,Default,,,
,com4_sw_flow=0,,Serial,Static,Default,,,
,,,,,,,,
,console_description=,,Console ,Static,Default,,,
,console_enable=0,,Console ,Static,Default,,,
,console_iface=/dev/ttyS1,,Console ,Static,Default,,,
,,,,,,,,
,cron_rb_days=0,,Scheduler,,Default,,Device level override possible,
,cron_rb_enable=0,,Scheduler,,Default,,,
,cron_rb_time=225,,Scheduler,,Default,,,
,,,,,,,,
,ct_max=2048,,,Static,Default,,,
,ct_tcp_timeout=,,,Static,Default,,,
,ct_udp_timeout=,,,Static,Default,,,
,,,,,,,,
,ddnsx0_cache=,,DDNS,Static,Default,,,
,ddnsx0=,,DDNS,Static,Default,,,
,ddnsx1_cache=,,DDNS,Static,Default,,,
,ddnsx1=,,DDNS,Static,Default,,,
,ddnsx2_cache=,,DDNS,Static,Default,,,
,ddnsx2=,,DDNS,Static,Default,,,
,debug_keepfiles=1,,,Static,Default,,,
,description=www.inhandnetworks.com,,,Static,Default,,,
,,,,,,,,
,dhcpd_enable=1,,DHCP,Static,Default,,,
,dhcpd_end=192.168.1.254,,DHCP,Dynamic,Default,,Customer or Device Override Possible,Altech/Miele
,dhcpd_ifname=lan0,,DHCP,Static,Default,,,
,dhcpd_lease=60,,DHCP,Static,Default,,,
,dhcpd_option_domain=0,,DHCP,Static,Default,,,
,dhcpd_slt=,,DHCP,Static,Default,,,
,dhcpd_start=192.168.1.100,,DHCP,Dynamic,Default,,Customer or Device Override Possible,Altech/Miele
,dhcpd_static=,,DHCP,Dynamic,Default,,Device level override possible - IP MAC LOCK,Miele
,dhcpd_wins=0.0.0.0,,DHCP,Static,Default,,,
,,,,,,,,
,dialwh_conn_cmd=CONNECT,,,Static,Default,,,
,dialwh_conn_timeout=60,,,Static,Default,,,
,dialwh_disconn_cmd=DOWN,,,Static,Default,,,
,dialwh_disconn_timeout=30,,,Static,Default,,,
,dialwh_enable=0,,,Static,Default,,,
,dialwh_port=6001,,,Static,Default,,,
,dialwh_proto=TCP,,,Static,Default,,,
,,,,,,,,
,dmz_enable=0,,DMZ,Static,Default,,,
,dmz_iface=,,DMZ,Static,Default,,,
,dmz_ip=,,DMZ,Static,Default,,,
,dmz_src=,,DMZ,Static,Default,,,
,dmz_tunnel=,,DMZ,Static,Default,,,
,dmz0_iface=none,,DMZ,Static,Default,,,
,dmz0_ip=192.168.3.1,,DMZ,Static,Default,,,
,dmz0_mac=,,DMZ,Static,Default,,,
,dmz0_mip=,,DMZ,Static,Default,,,
,dmz0_mtu_enable=0,,DMZ,Static,Default,,,
,dmz0_mtu=1500,,DMZ,Static,Default,,,
,dmz0_name=dmz0,,DMZ,Static,Default,,,
,dmz0_netmask=255.255.255.0,,DMZ,Static,Default,,,
,dmz0_proto=none,,DMZ,Static,Default,,,
,,,,,,,,
,dns_addget=1,,Peer DNS ,Static,Default,,,
,,,,,,,,
,dns_proxy_disable=0,,DNS,Static,Default,,,
,"dns_static=8.8.8.8,1.1.1.1",,DNS,Static,Default,,,
,dnsmasq_custom=,,DNS,Static,Default,,,
,dnsrelay_enable=1,,DNS,Static,Default,,,
,dnsrelay_static=,,DNS,Static,Default,,,
,dnsrelay=1,,DNS,Static,Default,,,
,domainname=inhand-router.com,,DNS,Static,Default,,,
,,,,,,,,
,dtu_buf_size=10240,,DTU,Static,Default,,,
,dtu_conn_idle=30,,DTU,Static,Default,,,
,dtu_conn_interval=5,,DTU,Static,Default,,,
,dtu_conn_retry_max=180,,DTU,Static,Default,,,
,dtu_conn_retry_min=15,,DTU,Static,Default,,,
,dtu_conn_retry_num=5,,DTU,Static,Default,,,
,dtu_connection_mode=0,,DTU,Static,Default,,,
,dtu_crlf=0,,DTU,Static,Default,,,
,dtu_downstr=,,DTU,Static,Default,,,
,dtu_enable=0,,DTU,Static,Default,,,
,dtu_frameval=100,,DTU,Static,Default,,,
,dtu_hbnum=5,,DTU,Static,Default,,,
,dtu_hbval=60,,DTU,Static,Default,,,
,dtu_id_trap_intv=0,,DTU,Static,Default,,,
,dtu_id=,,DTU,Static,Default,,,
,dtu_iface=/dev/ttyS1,,DTU,Static,Default,,,
,dtu_ma8_enable=0,,DTU,Static,Default,,,
,dtu_ma8_hb_context=,,DTU,Static,Default,,,
,dtu_ma8_hb_format=0,,DTU,Static,Default,,,
,dtu_ma8_hb_used=0,,DTU,Static,Default,,,
,dtu_mserver_policy=0,,DTU,Static,Default,,,
,dtu_port=502,,DTU,Static,Default,,,
,dtu_protocol=0,,DTU,Static,Default,,,
,dtu_server_mode=0,,DTU,Static,Default,,,
,dtu_server=,,DTU,Static,Default,,,
,dtu_src=,,DTU,Static,Default,,,
,dtu_str_format=1,,DTU,Static,Default,,,
,dtu_tcp_mode=0,,DTU,Static,Default,,,
,dtu_timeout=120,,DTU,Static,Default,,,
,dtu_uartframe_num=4,,DTU,Static,Default,,,
,dtu_upstr=,,DTU,Static,Default,,,
,dtu1_enable=,,DTU,Static,Default,,,
,dtu1_iface=/dev/ttyS0,,DTU,Static,Default,,,
,,,,,,,,
,down_bandwidth=1000,,QoS,Static,Default,,,
,,,,,,,,
,engineer_mode=0,,,Static,Default,,,
,env_path=,,,Static,Default,,,
,,,,,,,,
,fw_anti_dos=1,,FW Menu,Static,Default,,,
,fw_block_activex=0,,FW Menu,Static,Default,,,
,fw_block_applet=0,,FW Menu,Static,Default,,,
,fw_block_cookie=0,,FW Menu,Static,Default,,,
,fw_block_ident=0,,FW Menu,Static,Default,,,
,fw_block_loopback=0,,FW Menu,Static,Default,,,
,fw_block_multicast=1,,FW Menu,Static,Default,,,
,fw_block_proxy=0,,FW Menu,Static,Default,,,
,fw_block_wan=0,,FW Menu,Static,Default,,,
,fw_clear_conntrack=1,,FW Menu,Static,Default,,,
,fw_log_limit=60,,FW Menu,Static,Default,,,
,fw_mac_rules_saved=,,FW Menu,Static,Default,,,
,fw_mac_rules=,,FW Menu,Static,Default,,,
,,,,,,,,
,,,,,,,,
,fw_nat=,,FW Menu,DYNAMIC,Customer/Device Override/Service Plan,,,
,,,,,,,,
,fw_portmap=,,FW Menu,Static,Default,,,
,fw_router_vip=,,FW Menu,Static,Default,,,
,fw_strict=0,,FW Menu,Static,Default,,,
,fw_vip_range=,,FW Menu,Static,Default,,,
,fw_vip=,,FW Menu,Static,Default,,,
,,,,,,,,
,fw_web=,,FW Menu,Dynamic,Service Plan / Customer Override/Model,,,
,,,,,,,,
,gps_enable=0,,gps,Static,Default,,,
,gre_tunnels=,,vpn,Static,Default,,,
,gsm_wcdma_band_config=ALL,, cellular,Static,Default,,,
,,,,,,,,
,hostname=DC_22_ATM_05082025,,Hostname,Dynamic,NO DEFAULT,,,
,http_api_description=,,Admin Access,Static,Default,,,
,http_api_enable=1,,Admin Access,Static,Default,,,
,http_api_local=1,,Admin Access,Static,Default,,,
,http_api_port=4444,,Admin Access,Static,Default,,,
,http_api_remote=1,,Admin Access,Static,Default,,,
,http_api_src=,,Admin Access,Static,Default,,,
,http_description=,,Admin Access,Static,Default,,,
,http_enable=1,,Admin Access,Static,Default,,,
,http_local=1,,Admin Access,Static,Default,,,
,http_port=80,,Admin Access,Static,Default,,,
,http_remote=1,,Admin Access,Static,Default,,,
,http_src=,,Admin Access,Static,Default,,,
,https_description=,,Admin Access,Static,Default,,,
,https_enable=0,,Admin Access,Static,Default,,,
,https_local=1,,Admin Access,Static,Default,,,
,https_port=443,,Admin Access,Static,Default,,,
,https_remote=1,,Admin Access,Static,Default,,,
,https_src=,,Admin Access,Static,Default,,,
,hw_reset_disable=0,,Hardreset,Dynamic,Default,,Customer or Model Override possible,
,,,,,,,,
,ike_policies=,,VPN,Static,Default,,,
,,,,,,,,
,ip_passthrough_mac=,,IP Passthrough,Static,Default,,,
,ipsec_compress=1,,IPSEC VPN,Static,Default,,,
,ipsec_debug=0,,IPSEC VPN,Static,Default,,,
,ipsec_dynnattport=0,,IPSEC VPN,Static,Default,,,
,ipsec_force_natt=0,,IPSEC VPN,Static,Default,,,
,ipsec_natt_enable=1,,IPSEC VPN,Static,Default,,,
,ipsec_natt_interval=60,,IPSEC VPN,Static,Default,,,
,ipsec_nocrsend=0,,IPSEC VPN,Static,Default,,,
,ipsec_policies=,,IPSEC VPN,Static,Default,,,
,ipsec_stack=netkey,,IPSEC VPN,Static,Default,,,
,ipsec_tunnel_action=,,IPSEC VPN,Static,Default,,,
,ipsec_tunnel_name=,,IPSEC VPN,Static,Default,,,
,ipsec_tunnels=,,IPSEC VPN,Static,Default,,,
,ipsec_uniqueids=1,,IPSEC VPN,Static,Default,,,
,,,,,,,,
,l2tp_debug=0,,VPN,Static,Default,,,
